text,date,label,label_name,id
"{{USERNAME}} {{USERNAME}} I watched this video this morning during my  ""team building and coffee time"" the video itself is S-Tier content, informative, hilarious, and overall enjoyable. And the team, my god, Chef's kiss* {{USERNAME}} incredible. No other words. Guys amazing video as always, thank you!",2024-04-26,6,Jesus,1783693539659968658
Jesus Justin holiday,2024-04-26,6,Jesus,1783693539055927751
"As Jesus said (again, I’m not Christian but I can teach theology in Christian language) ‘figs don’t grow from thistles’ 		Look at the Islamic world: outside of the rich desert states all they’ve done is terrorize the world for 1500 years so they can get properly fucked in every… {{URL}}",2024-04-26,6,Jesus,1783693538233880687
Lord tires ???? 🔥🔥😂 “these tires my wife got me..” is me all day {{URL}},2024-04-26,6,Jesus,1783693538124779858
"{{USERNAME}} {{USERNAME}} Wow, Chris Evans is god? I may have to let go of my agnostic status 😆",2024-04-26,6,Jesus,1783693538116689939
{{USERNAME}} {{USERNAME}} {{USERNAME}} This comment needs at least 1 million ❤️s,2024-04-26,6,Jesus,1783693538053460175
"Hey, Lord, You know I'm tired	Hey, Lord, You know I'm tired of tears	Hey, Lord, just cut me loose",2024-04-26,6,Jesus,1783693537885683795
"{{USERNAME}} {{USERNAME}} Why what is a consideration? 	To choose is to be human. To not choose is to be a robot. 	As for the last question, I've answered it. I guess you just don't like the answer. 	God says if you eat this, you die, and you have sin in you.	How many strikes should there be?",2024-04-26,6,Jesus,1783693536895852858
{{USERNAME}} I love Jesus,2024-04-26,6,Jesus,1783693536149283252
"{{USERNAME}} {{USERNAME}} As god intended, fire track and moves",2024-04-26,6,Jesus,1783693535910518812
"{{USERNAME}} God Bless Israel!  Most people just ignore the Hamas Supporters, just seems like Antifa'BLM just needed another reason to protest and cause mayhem! {{URL}}",2024-04-26,6,Jesus,1783693535210094670
"{{USERNAME}} Oh good lord, pathetic troll needs a hobby.",2024-04-26,6,Jesus,1783693534362841286
"{{USERNAME}} God bless him with good health, wealth and prosperity",2024-04-26,6,Jesus,1783693532621934663
more raket pa Lord,2024-04-26,6,Jesus,1783693532559208955
"{{USERNAME}} I literally said, “Thank God for the work Marc Elias and his team did for us all” when I heard your cases referenced in today’s hearing.",2024-04-26,6,Jesus,1783693531485499792
This is a god tier physique. {{URL}} {{URL}},2024-04-26,6,Jesus,1783693530549858686
{{USERNAME}} The “Pool of Bethesda” (John 5:2) was a pagan shrine/healing site associated with the cult of Asclepius (Greek god). It was not a mikvah. No eyewitness at the time of supposed Jesus would have made this mistake.,2024-04-26,6,Jesus,1783693529547751513
"{{USERNAME}} {{USERNAME}} Mother is a cool and great woman, rolling up her arms to defend Palestine. May God reward all your kindness, mother..",2024-04-26,6,Jesus,1783693528557916328
"{{USERNAME}} Nevermind that he most likely raped people and probably raped the other ones too. God forbid they should be ""prejudice""",2024-04-26,6,Jesus,1783693528075268447
{{USERNAME}} i serve a loving God,2024-04-26,6,Jesus,1783693524719865986
thank god gaylor has not known the fact that albatross can be lesbian 😭😭,2024-04-26,6,Jesus,1783693523004584032
God bless my grandparents for having patience with my broken Hindi 🫠🤡💜,2024-04-26,6,Jesus,1783693522509656433
{{USERNAME}} Lord I’d cum so hard in tht position,2024-04-26,6,Jesus,1783693521766994123
God dam💀💀 {{URL}},2024-04-26,6,Jesus,1783693521645412414
{{USERNAME}} {{USERNAME}} {{USERNAME}} {{USERNAME}} And? What does that have to do with the brother’s drinking? 	Dude is struggling with alcohol and she says get his testosterone checked? 🙄 For the love of god. 	Should he go eat some dog bc I heard that’s good for men.,2024-04-26,6,Jesus,1783693520710123681
