text,date,label,label_name,id
{{USERNAME}} Fair enough! Honestly I can not imagine it being any longer like holy shit,2024-04-26,2,bible,1783677542588727555
{{USERNAME}} {{USERNAME}} I hear ya. I wasn’t raised in a religious family. My parents taught me strong morals and values.  I went to Catholic school for half the year. Aside from that I only started reading the Bible in bits and pieces since last summer. 	The 7 churches no longer physically exist in… {{URL}},2024-04-26,2,bible,1783677542005649587
"{{USERNAME}} GUH GUH GUH. I don't realize how down bad until pictures like this come up. Holy shit, lovely artwork.",2024-04-26,2,bible,1783677529565343921
{{USERNAME}} Holy reach #BUST,2024-04-26,2,bible,1783677527355174915
{{USERNAME}} I was out to dinner tonight and just catching up on some of these highlights… are ALL of these Jo clips from tonight alone? How tf is he allowed to do this? Holy smokes,2024-04-26,2,bible,1783677526901932435
"{{USERNAME}} You are right we are righteous because We are saved by Jesus’ death on the cross and covered by His blood, but the Holy Spirit inside of us helps us to cleanse ourself of sin. To do that we have to look to law now if we fail we try again we don’t lose salvation.",2024-04-26,2,bible,1783677526717366704
{{USERNAME}} Holy shit,2024-04-26,2,bible,1783677526537064910
Holy fuckin fleece {{URL}},2024-04-26,2,bible,1783677526335705472
{{USERNAME}} {{USERNAME}} 500 million guns keeps the brown streaks in their whity tightys. 		The gorilla warfare in our country would be biblical and the end to any nation that dared try.,2024-04-26,2,bible,1783677521860395490
"{{USERNAME}} Holy shit, I thought I was the only person feeling the input lag on the demo",2024-04-26,2,bible,1783677516923961754
{{USERNAME}} Holy based taste!😭 This is the manliest shit I’ve ever seen! {{URL}},2024-04-26,2,bible,1783677516093268394
{{USERNAME}} {{USERNAME}} ❧Morning Bible❧	A wonderful day has begun. 	Spend it happily and live with a smile. I wish you a good mood.	#อรุณสวัสดิ์คุณวิชญ์ภาส 	{{USERNAME}}	#BibleWichapas	#bsumone,2024-04-26,2,bible,1783677511567540434
"{{USERNAME}} but Matt, the sweater is holy! it says so right there in the description!",2024-04-26,2,bible,1783677511064510522
"{{USERNAME}} Holy Fuck the libs found this one hurtful, my god we’ve gone soft",2024-04-26,2,bible,1783677505875886191
"{{USERNAME}} My local deli has a sandwich called the Mexican Fiesta:	Grilled chicken, onion, bell peppers, jalapenos, avocado, pepper jack cheese, lettuce, &amp; tomato.		Its so good that when i get off the train coming home from the bars at 5am my subconscious knows to take me there &amp; order it🤤",2024-04-26,2,bible,1783677502826713146
{{USERNAME}} Holy shit Rosa 😂😂😂😂 {{URL}},2024-04-26,2,bible,1783677498305229165
{{USERNAME}} Holy shit mate. Did you make sure you give yourself a good shower afterwards? (Kudos and well done),2024-04-26,2,bible,1783677496619323606
HOLY SHIT YOU PEOPLE WERENT LYING VOLO REALLY DOES WHIMPER,2024-04-26,2,bible,1783677492408308168
{{USERNAME}} Holy fuck you’re high 😂😂😂,2024-04-26,2,bible,1783677489157456099
"{{USERNAME}} {{USERNAME}} What about the Holy Spirit. Did the Holy Spirit have any role in leading you to Christ?  If not, something doesn’t seem right.",2024-04-26,2,bible,1783677486577942545
"{{USERNAME}} Aapni email korte paaren. Mobile number aagei diye di chhi. Jekhane ichchha, wokhaney path. Aar kono upaay nain. Absolutely Not. My solutions will not work for you, because I'm a Bible-believer.",2024-04-26,2,bible,1783677481712812078
THEYRE HOW MUCH HOLY FUCK,2024-04-26,2,bible,1783677479158218822
{{USERNAME}} {{USERNAME}} ❧Morning Bible❧	A wonderful day has begun. 	Spend it happily and live with a smile. I wish you a good mood.	#อรุณสวัสดิ์คุณวิชญ์ภาส 	{{USERNAME}}	#BibleWichapas	#bsumone,2024-04-26,2,bible,1783677476474126336
HOLY. FUCK. {{URL}},2024-04-26,2,bible,1783677473487474901
holy fucking shit bruh like i knew this happened but this is SOOOOO CRAZYYYY {{URL}},2024-04-26,2,bible,1783677470987723197
holy ass {{URL}},2024-04-26,2,bible,1783677468047544661
Holy shit my bday is next week,2024-04-26,2,bible,1783677466579542026
"{{USERNAME}} The Number of the Man is 666,  Barrack H. Obama, ""My Muslim Religion"" The holy Koran of 666 verses.",2024-04-26,2,bible,1783677464406859897
HOLY SHIT {{URL}},2024-04-26,2,bible,1783677452394561989
"{{USERNAME}} {{USERNAME}} Holy shit, you guys. {{URL}}",2024-04-26,2,bible,1783677448866955341
Does your Bible Study group meet on Wednesday nights? Why not watch the livestream of our next event together? See our website for further details:		{{URL}} {{URL}},2024-04-26,2,bible,1783677437986865281
"Forget embiid comeback game for a sec, hOLY SHIIIIITTTTTT MAGIC {{URL}}",2024-04-26,2,bible,1783677436028502281
Writing a lore bible for the setting in my last two stories (Ground Zero club) because {{USERNAME}} mentioned wanting to do something within that universe 🥹 an honor,2024-04-26,2,bible,1783677429719941303
holy shit i legit looks like this rn i feel awful i need more mg of ssri {{URL}},2024-04-26,2,bible,1783677426784236001
Me jokingly theory crafting: I wonder if Groose is related to the Gerudo. Nah it’s just red hair. I wonder if the Gerudo were even in SS.	-Searches-	Holy… {{URL}},2024-04-26,2,bible,1783677423763992628
{{USERNAME}} This,2024-04-26,2,bible,1783677422337929351
Sinking Peaks - Holy Drone {{URL}},2024-04-26,2,bible,1783677421717184826
First time actually playing sonic 4		Holy shit this is awful you guys aren’t kidding {{URL}} {{URL}},2024-04-26,2,bible,1783677420966441250
❧Morning Bible❧	A wonderful day has begun. 	Spend it happily and live with a smile. I wish you a good mood.	#อรุณสวัสดิ์คุณวิชญ์ภาส 	{{USERNAME}}	#BibleWichapas	#bsumone {{URL}},2024-04-26,2,bible,1783677417288311067
{{USERNAME}} That spirit ain't holy.,2024-04-26,2,bible,1783677413760930127
Holy fuck I’ve come a long way Ty Jesus,2024-04-26,2,bible,1783677411877417073
"{{USERNAME}} {{USERNAME}} People need to get a back bone and tell the vaccine and face diaper pusher people. The works of the flesh and the devil's dark kingdom NO. 😡🗡️🛡️🏹⚖️📜 And say Yes to our Heavenly Father, Lord and Savior Jesus Christ and Holy Spirit in all areas of life. ❤️❤️❤️",2024-04-26,2,bible,1783677410648752357
beating my son over the head with the orange catholic bible,2024-04-26,2,bible,1783677408572211398
"{{USERNAME}} It was just a tuna sandwich with black olives on some good wheat bread, but it was the first thing I ate after a long unpleasant camping trip and it was perfect.",2024-04-26,2,bible,1783677399697428492
❧Morning Bible❧	A wonderful day has begun. 	Spend it happily and live with a smile. I wish you a good mood.	#อรุณสวัสดิ์คุณวิชญ์ภาส 	{{USERNAME}}	#BibleWichapas	#bsumone {{URL}},2024-04-26,2,bible,1783677398938190176
"Caleb Williams, D’Andre Swift, DJ Moore,  Keenan Allen, Rome Odunze, and Cole Kmet. Holy crap I’m drooling. The #Bears are going to be fun!",2024-04-26,2,bible,1783677391937925486
wait the amount of throuple media i've ingested since i was a pre-teen?!? I LOVE THIS REVELATION {{URL}},2024-04-26,2,bible,1783677391753331130
{{USERNAME}} holy shit dude!!!,2024-04-26,2,bible,1783677390264189411
{{USERNAME}} You absolutely know back my guy. Holy W.,2024-04-26,2,bible,1783677387521069433
yes that's right - {{USERNAME}} never wears a kippah except to Palestinian demonstrations - I can't imagine why?  Perhaps he thinks opposition to genocide is a holy sacrament?  or he's trying to paint himself as the poor hard done by Jew {{URL}},2024-04-26,2,bible,1783677386849980548
By his wisdom God made the heavens; his love is eternal; Ps 136:5 #Bible,2024-04-26,2,bible,1783677386229231854
"{{USERNAME}} your huge evict holy, congrats no more baby face 😉",2024-04-26,2,bible,1783677386191487235
"#GodMorningFriday 	A wrong way of worship,	instead of being beneficial, is harmful.	For complete peace and happiness,take inititation from SatGuru.	Only He provides the true way of worship mentioned in holy scriptures.	{{USERNAME}} 	Must Watch Sadhna tv7:30PM	#FridayMotivation {{URL}}",2024-04-26,2,bible,1783677385357062485
"{{USERNAME}} (Beyond the Mormon canon) the Spanish Reina Valera Bible, JW Bible in English and Spanish, excerpts of the Quran, excerpts of the Tao te Ching, excerpts of Vedic Texts, various Buddhist mantras, Sufi poetry by Hafez and Rumi, and of course The Lord Of The Rings",2024-04-26,2,bible,1783677383318683689
"This important book is for anyone concerned about violence directed at places of worship! ""Security for Holy Places"" written by Stephen D. Bryen {{USERNAME}} {{URL}} {{URL}}",2024-04-26,2,bible,1783677382685258220
"4/ I've been informed by a reliable source that this second prophet plagiarized a poem, claimed that he received it by angelic revelation, and shared the plagiarized work at a conference. Plagiarism, lying, and exaggerating angelic visitation.",2024-04-26,2,bible,1783677382567588127
"{{USERNAME}} SEND HELP I'M CRYING, LIKE 100% BASED BUT THIS ALSO TOOK ME BY SURPRISE HOLY SHIT",2024-04-26,2,bible,1783677382550773801
{{USERNAME}} HOLY!  I finally agree with Perk!  This is one of the dirtiest plays I’ve seen in ages.  Can’t believe he didn’t get tossed.,2024-04-26,2,bible,1783677382164873296
Embiid is aboutta drop 50 on a bad foot holy shit,2024-04-26,2,bible,1783677382026494376
🔥🔥🔥I watched this one last night. This one really hit me to think more deeply about just how big God is. 		Real ole time King James Bible preaching.		*Note: This is not me preaching. This is just a preacher I admire and like a lot. {{URL}},2024-04-26,2,bible,1783677380831101088
Mind-blowing revelation! Let that sink in.	#ChandrakanthaDevelopers #DidYouKnow #RealEstateBuilders #Bangalore {{URL}},2024-04-26,2,bible,1783677379442876848
{{USERNAME}} Holy shit is that a chassis dynamics modified?,2024-04-26,2,bible,1783677378683666470
"LET’S PRAY	Dear God, my righteous Father, I come to you on this fateful day, humbly seeking your mercy. For my actions have shamed your name. Don’t forsake Lord, as I yearn to have your holy spirit lead me to your glorious plans of the day. Amen. {{URL}}",2024-04-26,2,bible,1783677377865719848
{{USERNAME}} {{USERNAME}} Oh? I bet you have a Bible then,2024-04-26,2,bible,1783677377148580284
ONE DAY SON… YOUR GREATEST VICTORY IS COMING… YOUR GREAT GRANNY JOHNNIE MAE FAVORITE BIBLE VERSE PSALMS 34:8 “ O taste and see that the LORD is good: blessed is the man that trusteth in him.” 🩷 YOUR BIGGEST FAN MOM #GODFAMILYFOOTBALL #HIGHSCHOOL #FRESHMAN #SPEAKLIFEOVERYOURKID {{URL}},2024-04-26,2,bible,1783677376569692215
"{{USERNAME}} {{USERNAME}} {{USERNAME}} {{USERNAME}} What kind of fooishness is this? Jesus is Christ and you can be part of the only Church he started, in the Bible in his own words. But you deny Him the right.",2024-04-26,2,bible,1783677375286595856
"{{USERNAME}} {{USERNAME}} {{USERNAME}} 4,000 whole people watching it. Holy shit.",2024-04-26,2,bible,1783677371322712447
❧Morning Bible❧	A wonderful day has begun. 	Spend it happily and live with a smile. I wish you a good mood.	#อรุณสวัสดิ์คุณวิชญ์ภาส 	{{USERNAME}}	#BibleWichapas	#bsumone {{URL}},2024-04-26,2,bible,1783677369376718952
There's  bible verse that states $barron trump is Alexander the Great incarnate.,2024-04-26,2,bible,1783677356218908991
"The fact that we have OG and JB masterclass tonight yet the Sixers CAN'T MISS....It's just exhausting. We're playing really well, but Sixers can't miss at all, holy smokes. 😭 {{URL}}",2024-04-26,2,bible,1783677350976037145
"{{USERNAME}} The first holy crap moment was the crowd. Unbelievable. I've been to Hart Plaza for the Freedom Festival, but they have 275,000 at the draft tonight!",2024-04-26,2,bible,1783677350497890601
FRUIT FASTING DAY 26 LATE NIGHT HEALING BIBLE STUDY - PSALMS 72 (4/25/24) {{URL}},2024-04-26,2,bible,1783677348497555593
{{USERNAME}} Holy shit I can't believe they're real,2024-04-26,2,bible,1783677346962186500
{{USERNAME}} I think you did! Holy shit. 🤯,2024-04-26,2,bible,1783677344680427765
"{{USERNAME}} {{USERNAME}} {{USERNAME}} Now, I'm no Christian, but please show me where in the Bible it says you're not allowed to kill someone in self-defense.		In fact, if I remember my Bible studies correctly, the Bible prescribes death as a punishment for truly heinous crimes... you know, like mass murder.",2024-04-26,2,bible,1783677343791263928
{{USERNAME}} Holy moly,2024-04-26,2,bible,1783677342524621021
"i know this guy is a fucking idiot but holy shit {{USERNAME}}, citing a cartoon show and an MCU movie when people are going 'hey stories starring and about captain america aren't mercenary stories or accidentally helping nazi stories'. you are just talking out your ass at this point {{URL}}",2024-04-26,2,bible,1783677341165932552
"{{USERNAME}} Holy shit, community noted??!!",2024-04-26,2,bible,1783677337277780410
{{USERNAME}} {{USERNAME}} {{USERNAME}} Antisemitism laws make the Bible and Christianity illegal.  Remember the Jewish DOJ investigating traditional churches...,2024-04-26,2,bible,1783677333154812305
"These “professors”, holy cow do we have bigger problems than student debt… it’s embarrassing and  absurd that the vast majority are considered “educators”  let the  “student”  wannabe terrorists  implode it all  …  YIKES so much money burnt",2024-04-26,2,bible,1783677325609169298
"{{USERNAME}} Juma mubarak, wish you this holy and healthy day",2024-04-26,2,bible,1783677325176902070
"{{USERNAME}} {{USERNAME}} Thanks... I admit that I have to look into Christian Anthropology a bit deeper first, too. E,g, what is a nation in the biblical perspective. What it's role and relevance. Fews on this changed drastically since World War Two it seems. Recall this article:	{{URL}}",2024-04-26,2,bible,1783677323876634715
"{{USERNAME}} Holy balls, that’s a gorgeous piece",2024-04-26,2,bible,1783677317056716829
Biden mocking the Bible 	No way he’s catholic {{URL}},2024-04-26,2,bible,1783677313311248640
{{USERNAME}} Get this man a bump holy jumping,2024-04-26,2,bible,1783677311172129096
"{{USERNAME}} I been saying 1 must become a polarity master as U R the neutral creator God &amp; the Devil R a part of U Just like electrical positive, negative &amp; the neutral the Holy Trinity. Ain or Aleft which is the Neutral Creator comprised of opposing polarities in flux making creation..",2024-04-26,2,bible,1783677310966579352
"{{USERNAME}} {{USERNAME}} {{USERNAME}} Cite for us in the Bible where the Hypostatic and Trinitarian Unions are explicitly stated? Because they're not. 		But first - cite ""bible"" in the Bible -  starting with the exact number of books that should be in it. {{URL}}",2024-04-26,2,bible,1783677308601069803
{{USERNAME}} This game's music goes so fucking hard holy shit dude,2024-04-26,2,bible,1783677308353847620
"{{USERNAME}} {{USERNAME}} {{USERNAME}} {{USERNAME}} No. It can be,to you, concluded that The Church founded by Christ is not good but in truth  the Church founded by Jesus, is perfect,despite Peter who denied Him and Judas who betrayed Him, it is still the mission of Christ and under the direction of The Holy Spirit!",2024-04-26,2,bible,1783677307917410416
{{USERNAME}} Holy shit you fuckwad.   What brand of cereal did you get your badge in.  		Your so pathetic in your knowledge of law that I know more about the law there then you do and I don’t even live in the states.,2024-04-26,2,bible,1783677307401462105
Holy shit I wish literally anywhere near here was this well-stocked. Pokemon TCG is still limited as fuck here. Most places still have purchase limits. {{URL}},2024-04-26,2,bible,1783677305224650995
"{{USERNAME}} holy crap, no way that is real.",2024-04-26,2,bible,1783677301672071371
{{USERNAME}} {{USERNAME}} {{USERNAME}} I mean in the Bible. One verse. I don’t need an essay. 		It says he judges yes. 		But even so he was not in communion with God on par with Deborah or the other main figures in THE BOOK OF JUDGES. 		Even so: {{URL}},2024-04-26,2,bible,1783677299990090022
{{USERNAME}} Only if it’s the holy spirt,2024-04-26,2,bible,1783677299289678267
"{{USERNAME}} first impression: Wait so cool 	nickname in head: Kowaiboy	do i like you: YES als i love. paw emoji miau	do i like ur pfp: YES HOLY SHIT	hug, hoofbump or kiss (or kill): Hug 🥰🥰	should you also do it:  ALSOYES",2024-04-26,2,bible,1783677298656358504
{{USERNAME}} they made that shit way too fucking hard		and I remember playing the later bits of the game at my friend's house and holy shit the green goblin was so scary lmaooooo I'm convinced that's why Willem Dafoe's goblin haunts my dreams to this day,2024-04-26,2,bible,1783677296983023817
holy fucking shit where does he come from. {{URL}},2024-04-26,2,bible,1783677295305044439
"{{USERNAME}} Holy shit,i didn't knew you had your own show,(jk)",2024-04-26,2,bible,1783677295212773597
"{{USERNAME}} {{USERNAME}} People need to get a back bone and tell the vaccine and face diaper pusher people. The works of the flesh and the devil's dark kingdom NO. 😡🗡️🛡️🏹⚖️📜 And say Yes to our Heavenly Father, Lord and Savior Jesus Christ and Holy Spirit in all areas of life. ❤️❤️❤️",2024-04-26,2,bible,1783677294290342074
HOLY SHIT THIS FOUL BAITING THOT BITCH HOE PUSSY ASS BITCH ASS MOTHERFUCKER IS ON THE LINE EVERY FUCKING TIME. THIS GUY HURTS PEOPLE ON PURPOSE.,2024-04-26,2,bible,1783677289714139597
{{USERNAME}} holy crap you have a KVH FOG!?,2024-04-26,2,bible,1783684249461076207
"{{USERNAME}} {{USERNAME}} {{USERNAME}} Jesus was a Jew. He was born of a Jewish mother, in Judea. This was before the bible. Jews have always been in the holy land. {{URL}}",2024-04-26,2,bible,1783684248039227524
{{USERNAME}} {{USERNAME}} You dont even know the difference between European depictions and depictions from the Bible. Can't even take you seriously.  The reason you don't actually answer me.,2024-04-26,2,bible,1783684241873629478
Look at that bullet hole. Holy shit. God protected Deputy Aispuro! {{URL}},2024-04-26,2,bible,1783684240527573069
{{USERNAME}} ….but grilled cheese is itself a sandwich 		So it already a sandwich anyway,2024-04-26,2,bible,1783684233212342447
{{USERNAME}} I thought you were being sarcastic...holy moly.  start here - {{URL}}  then read Nehl's book.  {{URL}},2024-04-26,2,bible,1783684230049931745
holy. SHIT {{URL}},2024-04-26,2,bible,1783684226975498290
{{USERNAME}} {{USERNAME}} {{USERNAME}} Stick to the humane issue at hand.	NO biblical myths and lies. 	NO colonial racist settler projects. {{URL}},2024-04-26,2,bible,1783684223993552921
{{USERNAME}} My mom had to drive to his apartment tbf because he forgot to turn it off after Bible study 🤢. In the end we did go out but I left my eyedrop cooler there. Something gained and something lost 😞,2024-04-26,2,bible,1783684220109332633
"{{USERNAME}} A fresh Dungeness crab and Oregon mini pink shrimp po boy with fresh fennel, arugula, pickled onion and radish and some kind of white sauce a little closer to fresh coleslaw sauce than tartar. On the coast so the seafood was so sweet",2024-04-26,2,bible,1783684215282053499
{{USERNAME}} The Holy Land will always win!!,2024-04-26,2,bible,1783684212349915159
Hatterene Lady broke the towel gag holy shit. Course’ they had to be a sass parade {{URL}},2024-04-26,2,bible,1783684211440078991
{{USERNAME}} Holy great time for me to be a fan,2024-04-26,2,bible,1783684209191555138
{{USERNAME}} Holy shit!!!!!  What happened to him? THE VENUS CURSE STRIKES AGAIN,2024-04-26,2,bible,1783684206926676276
{{USERNAME}} {{USERNAME}} Holy. Shit.	That is absolutely awful. I'm so sorry that happened to you.,2024-04-26,2,bible,1783684204842352994
{{USERNAME}} {{USERNAME}} {{USERNAME}} {{USERNAME}} LOOOOOOOOL HOLY,2024-04-26,2,bible,1783684204376510719
Holy shit it’s about time! Let’s go {{USERNAME}} 		This is an authentic listing for $RIO as they do not pay for listing services as far as I can recall!!		Bullish news for this #RWA 👑 		#btc #AltcoinGems #Binance #bnb #ETH {{URL}},2024-04-26,2,bible,1783684200719175759
"{{USERNAME}} Judas received the Holy Spirit. Not for whatever reason that happened, we will never know unless we ask God.		But if you just let the text speak, it says that Judas received this power from Jesus, and the only power that I could come from is the Holy Spirit.",2024-04-26,2,bible,1783684198290559168
"{{USERNAME}} {{USERNAME}} {{USERNAME}} Early testing stages but holy shit, this seems life changing",2024-04-26,2,bible,1783684198022189527
I don’t even care who we draft for the rest of this draft. We got drake maye. Holy fuck. Let’s go.,2024-04-26,2,bible,1783684192787718452
{{USERNAME}} I play elder scrolls online,2024-04-26,2,bible,1783684190044623123
—; RWBY survived holy shit I’m sobbing,2024-04-26,2,bible,1783684185007239525
{{USERNAME}} Holy shit. You actually left your house!?,2024-04-26,2,bible,1783684175771451543
Holy shit.	Pakistanis are living in hell.	Outlaw Pakistan.	They want to control millions of people not just one or two.	The whole country is outsourced.	At least US state dept is giving them (somewhat) shit for gross human rights violation.	PTi troopers should grill DG ISI and… {{URL}} {{URL}},2024-04-26,2,bible,1783684175692001664
"{{USERNAME}} Riiiight, I'ma go with the Bible on this one",2024-04-26,2,bible,1783684173707784648
"The fear of the LORD is the beginning of wisdom, &amp; the knowledge of the Holy One is understanding. -Proverbs 9:10",2024-04-26,2,bible,1783684172524945618
"Ethereum’s smart contracts are like the mystical scrolls of the digital  world, holding secrets and automated wisdom. #EthereumEnigmas  #SmartContractMysteries",2024-04-26,2,bible,1783684170843295930
Made it to my fucking hotel. Holy fuck. I had packed flights. Packed flights can go to hell.,2024-04-26,2,bible,1783684170314899470
"This Verse kid better bring something to compare him to the great {{USERNAME}}  holy crap. Just cuz he can use his hands, blasphemy!!!!",2024-04-26,2,bible,1783684169135993285
Holy cow why did i lose so many followers today,2024-04-26,2,bible,1783684168800407976
{{USERNAME}} Holy moly 😳 {{URL}},2024-04-26,2,bible,1783684161842069981
"Eve doesn’t get bitten in the Bible — rather, she is the one who chooses to bite the forbidden fruit. So Taylor is saying that she cursed herself with her own decisions. In Hits Different, her need for space is what led to the end of the relationship. {{URL}}",2024-04-26,2,bible,1783684159468089514
{{USERNAME}} holy shit it's me,2024-04-26,2,bible,1783684159354867949
{{USERNAME}} That is freaking AWESOME. Holy shit. 🔥🔥🔥🔥,2024-04-26,2,bible,1783684157144813883
{{USERNAME}} {{USERNAME}} {{USERNAME}} holy shit are you batman?,2024-04-26,2,bible,1783684156867989731
