text,date,label,label_name,id
King Charles &amp; Friends Raped 'Hundreds of Children' - Explosive New Testimony {{URL}},2024-04-26,8,prophesy,1783688811857268817
{{USERNAME}} I’m not looking for articles. I’m looking for the direct testimony you cited. I’d like to read it for myself.,2024-04-26,8,prophesy,1783688794341798192
{{USERNAME}} expresses desire to be in the presence of {{USERNAME}} and offers encouragement!		He’s appeared to come around to supporting {{USERNAME}} and the	Great American Society Plan 🇺🇸 		Thank you for the support {{USERNAME}} !! {{URL}},2024-04-26,8,prophesy,1783688766260924632
☕️ Becky's Encouragement - Obedience To Christ		on yt @ beckyhaag	no copyright infringement intended		#beckyhaag #obedience #christisking #devotional #jesuscafe #vlogger {{URL}},2024-04-26,8,prophesy,1783688734845878688
Surviving the Shoah in the Dutch Countryside: A Child Survivor Gives Testimony {{URL}} #boulder,2024-04-26,8,prophesy,1783688594080858238
"Day 310 - 1 Kings 16	The chapter begins with Baasha, the king of Israel, who attracts divine judgment for his evil deeds, including his idolatry and the sins he led Israel into. God sends Jehu, the son of Hanani the seer, to prophesy the downfall of Baasha’s lineage, which...",2024-04-26,8,prophesy,1783688551110173039
{{USERNAME}} {{USERNAME}} {{USERNAME}} Unfortunately that voids all testimony,2024-04-26,8,prophesy,1783688543765967113
{{USERNAME}} {{USERNAME}} I’m thinking you don’t understand hearsay. What part of the testimony was hearsay?,2024-04-26,8,prophesy,1783688448190116087
{{USERNAME}} Is this a pre or post Ptolemaic prophesy? LOL!,2024-04-26,8,prophesy,1783688445052834195
{{USERNAME}} {{USERNAME}} His testimony is also irrelevant. He says nothing about the federal portion of the case. Everything pecker says is commonplace business and has nothing to do with campaign irregularity. It’s simply empty air. Bragg has no case.,2024-04-26,8,prophesy,1783688425066881079
"{{USERNAME}} {{USERNAME}} {{USERNAME}} Under oath:		""Epstein's longtime Palm Beach butler testified Ghislaine Maxwell gave him instructions to 'see nothing'		Underage Virginia Roberts aka Virginia Giuffre was at the island, Maxwell picked her up at Mar-a-Lago""		{{URL}}",2024-04-26,8,prophesy,1783688399112564934
"Someone was kind enough to post an aged “fact check” from 2021 and it prompted me to post this transcript of my testimony to the CDC from so long ago. Perma | Halt Covid Vaccine, Research Scientist Urges CDC {{URL}}",2024-04-26,8,prophesy,1783688334897754315
"Weekly Roundup on the Global Against #Antisemitism April 25, 2024		Source: Combat Antisemitism Movement		Following Columbia University President Minouche Shafik’s Congressional testimony, an explosion of antisemitic incidents occurred on American campuses, with Columbia at the… {{URL}}",2024-04-26,8,prophesy,1783688332196655484
{{USERNAME}} Thanks buddy! I appreciate that very much! My mom has been very sick and it’s here hard. Praying and hoping she gets well soon!  I appreciate your kind words and encouragement!,2024-04-26,8,prophesy,1783688214907171015
"{{USERNAME}} COVID-19 was a bio weapon.	Andrew Huff	Vice President of Eco health alliance.	Testimony under oath.		His boss, Peter dazak.	Created the Bioweapon known as COVID-19.		( {{URL}} )",2024-04-26,8,prophesy,1783688209400017100
{{USERNAME}} Amazing testimony &amp; im so very happy for everyone participating &amp; experiencing healing results!  Praise God. 		Early day tomorrow so shutting down. But thank you all for sharing.,2024-04-26,8,prophesy,1783688138826690704
"{{USERNAME}} {{USERNAME}} The way she cut her off and manipulated the testimony there, Why should she bend any rules for Omar’s kid if Omar is going to disrespect her like that?  So on with the process and out she goes.",2024-04-26,8,prophesy,1783688132959113305
{{USERNAME}} {{USERNAME}} Thomas is courtesy of Biden. He stopped corroborating witness testimony in the Anita Hill case .,2024-04-26,8,prophesy,1783688119235351021
"Many false prophets will arise and will mislead many. Because lawlessness is increased, most people’s love will grow cold. But the one who endures to the end, he will be saved. This gospel of the kingdom shall be preached in the whole world as a testimony to all the nations, and… {{URL}}",2024-04-26,8,prophesy,1783688086632669488
"{{USERNAME}} {{USERNAME}} Holy Mary, Mother of God 	Hail Holy Queen	Hail Mary Full Of Grace 	Queen of Heaven 	The Immaculate Conception 		""No, I am nothing but a creature, He (God) is everything"" - Mary 		Source: Roy Schoeman's conversion testimony {{URL}}",2024-04-26,8,prophesy,1783688082933371086
"{{USERNAME}} {{USERNAME}} {{USERNAME}} 	You may scratch it off after Karen's testimony, which you should be in court for. As a good wife should, to give loving spousal support &amp; hold a tiny hand while the horrors &amp; stories of him banging other hotter women during your marriage cums out.",2024-04-26,8,prophesy,1783687976192737652
#TIFI #RWA #LovelyWallet {{URL}} Thank you for always being a source of positivity and encouragement. {{USERNAME}} {{USERNAME}} {{USERNAME}},2024-04-26,8,prophesy,1783687967665475788
"{{USERNAME}} ✝️ 	Hear THE MOST HIGH GOD	with ""WALLS DOWN"" 😢		HE TRULY Loves HIS CREATION🫂		HOW BEAUTIFUL HIS openness is to ALL of us.		Feel HIS Pain &amp; Love ❤️ here		HE will gather us unto HIMSELF soon🚀		3AM FROM GOD'S ❤️ HEART: HIS SADNESS &amp; #RAPTURE ENCOURAGEMENT	{{URL}}",2024-04-26,8,prophesy,1783687932710162681
{{USERNAME}} {{USERNAME}} No damning testimony princess oh and fuck Ukraine,2024-04-26,8,prophesy,1783687869783060650
{{USERNAME}} Cant sue for a liars false testimony,2024-04-26,8,prophesy,1783687844961390746
{{USERNAME}} Awesome. Needed this encouragement. Thank you!,2024-04-26,8,prophesy,1783687803148046512
Judge Cannon Unseals Docs Alleging Jack Smith's Lead Prosecutor Threatened Trump Valet Attorney and Tried to Bribe Him in Exchange For Client's Testimony Against Trump | The Gateway Pundit | by Cristina Laila {{URL}},2024-04-26,8,prophesy,1783687700509335731
-There's a point where your life itself becomes a living testimony.		This all itself -		-A part of the looking glass -,2024-04-26,8,prophesy,1783687619169165763
Ania's Amazing Healing Testimony💪🏻		CTTO (Credits To The Rightful Owner)		Visit Us: {{URL}}		Learn More: {{URL}}		#BESTTA #Claybourn #Yong #Fashion #miracle #Godisreal #JesusChrist #Messiah #bible #salvation #truelove #gracefoundme #neverstop #fyp {{URL}},2024-04-26,8,prophesy,1783687590786580732
{{USERNAME}} Like your testimony on J6 committee?		Cry harder,2024-04-26,8,prophesy,1783687530639933532
"{{USERNAME}} Amen , my testimony is coming in Jesus name.",2024-04-26,8,prophesy,1783687500084465808
"{{USERNAME}} {{USERNAME}} I worked with Lauren Craig from {{USERNAME}} as my first mentor. Her encouragement to embrace what makes me different, instead of conforming to conventions, was fundamental to my writing.",2024-04-26,8,prophesy,1783687471425003613
"✝️ 	Hear THE MOST HIGH GOD	with ""WALLS DOWN"" 😢		HE TRULY Loves HIS CREATION🫂		HOW BEAUTIFUL HIS openness is to ALL of us.		Feel HIS Pain &amp; Love ❤️ here		HE will gather us unto HIMSELF soon🚀		3AM FROM GOD'S ❤️ HEART: HIS SADNESS &amp; #RAPTURE ENCOURAGEMENT	{{URL}}",2024-04-26,8,prophesy,1783687395482718262
"{{USERNAME}} No never say they got away with it, dont give them encouragement with these dumb posts,",2024-04-26,8,prophesy,1783687384640450791
Encouragement is through ignorance.		▬نمشؾ▬	◗W77◖		▬ٺون▬	◗FVF◖,2024-04-26,8,prophesy,1783687329359511728
"{{USERNAME}} {{USERNAME}} I was just thinking about this in the shower this morning in another case. A murder case with overwhelming evidence of guilt, but the DA fought like mad to get in ""exact match,"" ""100% sure"" firearms testimony that was already weak and tangential. They always get greedy.",2024-04-26,8,prophesy,1783687318341136663
😆🙃🥱☹️	 testimony satisfy supposed responsibility somehow model nevertheless,2024-04-26,8,prophesy,1783687201785778245
{{USERNAME}} I do I jus don’t be postin it 😂 to embarrassin unless it’s a testimony.,2024-04-26,8,prophesy,1783687167878762782
Who knew that Seller Amp had a variations section… thanks Kateecommerce for the help and encouragement tonight! {{URL}},2024-04-26,8,prophesy,1783687113113809364
{{USERNAME}} They don't want to recognize the fact that his scars and the way he looks is his testimony.,2024-04-26,8,prophesy,1783687105690104024
{{USERNAME}} It is so sad. It happened to my father's people. The Indigenous Chinook of Northwest Occupied America. But we have no promise of a saviour. Our elder's prophesy is that the land will take itself from the occupiers.,2024-04-26,8,prophesy,1783687089541792102
#TIFI #RWA #LovelyWallet {{URL}} Your words of encouragement have been a source of inspiration for me. {{USERNAME}} {{USERNAME}} {{USERNAME}},2024-04-26,8,prophesy,1783687057287922075
{{USERNAME}} {{USERNAME}} Fake story. Pure BS. Little to no details.   We know Israeli government make up a lot of stories to disinform &amp; coverup for their crimes. Similarly to Mia Schem's sea of lies testimony. {{USERNAME}} if you can believe such without questioning then you are completely oblivious.,2024-04-26,8,prophesy,1783687040644608435
{{URL}}	Lawyer James Kitchen presents his analysis on why the courts failed to uphold the individual’s rights and also to explain the capture of professional regulatory boards in the country. “I don’t care how many laws you have or how good they are on paper. They,2024-04-26,8,prophesy,1783686996256591935
Actually 	I am lucky that most of my followers are so funny and I always laugh and received encouragement when I see your comments 🤭,2024-04-26,8,prophesy,1783686892418224609
"I am a Libra. Have you heard about the ""Sabdwich Method"" -I start with a compliment or praise, then address the issue or area of improvement, and then end with another compliment or encouragement. That's what I do best at, always and unintentionally giving my opinion that way 🤘",2024-04-26,8,prophesy,1783686864383377415
"{{USERNAME}} {{USERNAME}} {{USERNAME}} I'd love to be in your presence right now...it's obvious you're in need of some ""encouragement""",2024-04-26,8,prophesy,1783686851448156558
"{{USERNAME}} I was hoping they at least would have given it back to Judge Chutkan, so that she could allow witness testimony, while they're deciding on the ruling.  Very disappointed, and worried actually.",2024-04-26,8,prophesy,1783686782049300723
{{USERNAME}} {{USERNAME}} {{USERNAME}} Heretic.  Jesus must according to prophesy come from the line of David from the Tribe of Judah.  If He is notJewish he is not the Messiah and Son of God.  Yer an eegit.,2024-04-26,8,prophesy,1783686777108091272
"{{USERNAME}} 4). The final decision must be based on whether a trans girl on puberty blockers who had not started Tanner Stage II male puberty has any unfair advantage over c*s girls. Also, expert testimony on both sides entered conflicting evidence of trans girl advantage before puberty.",2024-04-26,8,prophesy,1783686613626999004
"{{USERNAME}} Lost my husband 5 months ago and I feel like I read of me getting stronger I am getting more broken. We all feel your pain, I wish I had encouragement words for you and everyone going through this very painful life experience.",2024-04-26,8,prophesy,1783686506961367494
BOOM! Judge Cannon Unseals Docs Alleging Jack Smith's Lead Prosecutor Threatened Trump Valet Attorney and Tried to Bribe Him in Exchange For Client's Testimony Against Trump {{URL}} #gatewaypundit via {{USERNAME}} {{URL}},2024-04-26,8,prophesy,1783686504230838523
{{USERNAME}} Thank you for the encouragement 🙂♥️ it means a lot.,2024-04-26,8,prophesy,1783686447792349561
Testimony resumes in hush money case		Former US President #DonaldTrump faces Supreme Court's immunity test as 'hush money' trial continues 		{{USERNAME}} joined by {{USERNAME}} bring you this report 		Watch more on {{URL}} {{URL}},2024-04-26,8,prophesy,1783686301138686228
"{{USERNAME}} {{USERNAME}} Except the explicit testimony of both witnesses is that this was to protect his campaign and the timing lines up with this. When you say ""to protect his privacy"" it's just a charitable guess that doesn't line up with the evidence or even just common sense.",2024-04-26,8,prophesy,1783686223304761758
"Huhhh, Sulking on me 	Give me encouragement, rather than mujhpe gussa hone ke 😅🫂 {{URL}}",2024-04-26,8,prophesy,1783686194615955594
Judge Cannon Unseals Docs Alleging Jack Smith's Lead Prosecutor Threatened Trump Valet Attorney and Tried to Bribe Him in Exchange For Client's Testimony Against Trump {{URL}} #gatewaypundit via {{USERNAME}},2024-04-26,8,prophesy,1783686192195949003
"A judge has denied #Trump’s request for a new trial or change of verdict in the #EJeanCarroll case, rejecting the Trump’s contention that the outcome was tainted by “extreme” restrictions on his courtroom testimony and erroneous instructions to the jury.	 {{URL}}",2024-04-26,8,prophesy,1783686187720343616
