text,date,label,label_name,id,toxicity_label,toxicity_score
{{USERNAME}} Fair enough! Honestly I can not imagine it being any longer like holy shit,2024-04-26,2,bible,1783677542588727555,1 star,0.30834513902664185
{{USERNAME}} {{USERNAME}} I hear ya. I wasn’t raised in a religious family. My parents taught me strong morals and values.  I went to Catholic school for half the year. Aside from that I only started reading the Bible in bits and pieces since last summer. 	The 7 churches no longer physically exist in… {{URL}},2024-04-26,2,bible,1783677542005649587,1 star,0.4127926230430603
"{{USERNAME}} GUH GUH GUH. I don't realize how down bad until pictures like this come up. Holy shit, lovely artwork.",2024-04-26,2,bible,1783677529565343921,5 stars,0.4717869460582733
{{USERNAME}} Holy reach #BUST,2024-04-26,2,bible,1783677527355174915,1 star,0.6894607543945312
{{USERNAME}} I was out to dinner tonight and just catching up on some of these highlights… are ALL of these Jo clips from tonight alone? How tf is he allowed to do this? Holy smokes,2024-04-26,2,bible,1783677526901932435,1 star,0.348454087972641
"{{USERNAME}} You are right we are righteous because We are saved by Jesus’ death on the cross and covered by His blood, but the Holy Spirit inside of us helps us to cleanse ourself of sin. To do that we have to look to law now if we fail we try again we don’t lose salvation.",2024-04-26,2,bible,1783677526717366704,5 stars,0.5421141386032104
{{USERNAME}} Holy shit,2024-04-26,2,bible,1783677526537064910,1 star,0.541635274887085
Holy fuckin fleece {{URL}},2024-04-26,2,bible,1783677526335705472,1 star,0.553710401058197
{{USERNAME}} {{USERNAME}} 500 million guns keeps the brown streaks in their whity tightys. 		The gorilla warfare in our country would be biblical and the end to any nation that dared try.,2024-04-26,2,bible,1783677521860395490,5 stars,0.3010537028312683
"{{USERNAME}} Holy shit, I thought I was the only person feeling the input lag on the demo",2024-04-26,2,bible,1783677516923961754,1 star,0.7152794003486633
{{USERNAME}} Holy based taste!😭 This is the manliest shit I’ve ever seen! {{URL}},2024-04-26,2,bible,1783677516093268394,1 star,0.4555606544017792
{{USERNAME}} {{USERNAME}} ❧Morning Bible❧	A wonderful day has begun. 	Spend it happily and live with a smile. I wish you a good mood.	#อรุณสวัสดิ์คุณวิชญ์ภาส 	{{USERNAME}}	#BibleWichapas	#bsumone,2024-04-26,2,bible,1783677511567540434,5 stars,0.6439685225486755
"{{USERNAME}} but Matt, the sweater is holy! it says so right there in the description!",2024-04-26,2,bible,1783677511064510522,3 stars,0.2669009864330292
"{{USERNAME}} Holy Fuck the libs found this one hurtful, my god we’ve gone soft",2024-04-26,2,bible,1783677505875886191,1 star,0.8692501187324524
"{{USERNAME}} My local deli has a sandwich called the Mexican Fiesta:	Grilled chicken, onion, bell peppers, jalapenos, avocado, pepper jack cheese, lettuce, &amp; tomato.		Its so good that when i get off the train coming home from the bars at 5am my subconscious knows to take me there &amp; order it🤤",2024-04-26,2,bible,1783677502826713146,5 stars,0.45435208082199097
{{USERNAME}} Holy shit Rosa 😂😂😂😂 {{URL}},2024-04-26,2,bible,1783677498305229165,1 star,0.38699087500572205
{{USERNAME}} Holy shit mate. Did you make sure you give yourself a good shower afterwards? (Kudos and well done),2024-04-26,2,bible,1783677496619323606,5 stars,0.45398467779159546
HOLY SHIT YOU PEOPLE WERENT LYING VOLO REALLY DOES WHIMPER,2024-04-26,2,bible,1783677492408308168,1 star,0.4719163775444031
{{USERNAME}} Holy fuck you’re high 😂😂😂,2024-04-26,2,bible,1783677489157456099,5 stars,0.5414517521858215
"{{USERNAME}} {{USERNAME}} What about the Holy Spirit. Did the Holy Spirit have any role in leading you to Christ?  If not, something doesn’t seem right.",2024-04-26,2,bible,1783677486577942545,1 star,0.29331132769584656
"{{USERNAME}} Aapni email korte paaren. Mobile number aagei diye di chhi. Jekhane ichchha, wokhaney path. Aar kono upaay nain. Absolutely Not. My solutions will not work for you, because I'm a Bible-believer.",2024-04-26,2,bible,1783677481712812078,1 star,0.8173966407775879
THEYRE HOW MUCH HOLY FUCK,2024-04-26,2,bible,1783677479158218822,1 star,0.4817880392074585
{{USERNAME}} {{USERNAME}} ❧Morning Bible❧	A wonderful day has begun. 	Spend it happily and live with a smile. I wish you a good mood.	#อรุณสวัสดิ์คุณวิชญ์ภาส 	{{USERNAME}}	#BibleWichapas	#bsumone,2024-04-26,2,bible,1783677476474126336,5 stars,0.6439685225486755
HOLY. FUCK. {{URL}},2024-04-26,2,bible,1783677473487474901,1 star,0.573989987373352
holy fucking shit bruh like i knew this happened but this is SOOOOO CRAZYYYY {{URL}},2024-04-26,2,bible,1783677470987723197,1 star,0.8122367262840271
holy ass {{URL}},2024-04-26,2,bible,1783677468047544661,5 stars,0.561763346195221
Holy shit my bday is next week,2024-04-26,2,bible,1783677466579542026,1 star,0.6884432435035706
"{{USERNAME}} The Number of the Man is 666,  Barrack H. Obama, ""My Muslim Religion"" The holy Koran of 666 verses.",2024-04-26,2,bible,1783677464406859897,1 star,0.5942229628562927
HOLY SHIT {{URL}},2024-04-26,2,bible,1783677452394561989,5 stars,0.3674023151397705
"{{USERNAME}} {{USERNAME}} Holy shit, you guys. {{URL}}",2024-04-26,2,bible,1783677448866955341,1 star,0.6220499277114868
Does your Bible Study group meet on Wednesday nights? Why not watch the livestream of our next event together? See our website for further details:		{{URL}} {{URL}},2024-04-26,2,bible,1783677437986865281,4 stars,0.24831144511699677
"Forget embiid comeback game for a sec, hOLY SHIIIIITTTTTT MAGIC {{URL}}",2024-04-26,2,bible,1783677436028502281,5 stars,0.3464212119579315
Writing a lore bible for the setting in my last two stories (Ground Zero club) because {{USERNAME}} mentioned wanting to do something within that universe 🥹 an honor,2024-04-26,2,bible,1783677429719941303,4 stars,0.46476754546165466
holy shit i legit looks like this rn i feel awful i need more mg of ssri {{URL}},2024-04-26,2,bible,1783677426784236001,1 star,0.8965206146240234
Me jokingly theory crafting: I wonder if Groose is related to the Gerudo. Nah it’s just red hair. I wonder if the Gerudo were even in SS.	-Searches-	Holy… {{URL}},2024-04-26,2,bible,1783677423763992628,2 stars,0.3098287284374237
{{USERNAME}} This,2024-04-26,2,bible,1783677422337929351,5 stars,0.39113685488700867
Sinking Peaks - Holy Drone {{URL}},2024-04-26,2,bible,1783677421717184826,1 star,0.46511366963386536
First time actually playing sonic 4		Holy shit this is awful you guys aren’t kidding {{URL}} {{URL}},2024-04-26,2,bible,1783677420966441250,1 star,0.9348598718643188
❧Morning Bible❧	A wonderful day has begun. 	Spend it happily and live with a smile. I wish you a good mood.	#อรุณสวัสดิ์คุณวิชญ์ภาส 	{{USERNAME}}	#BibleWichapas	#bsumone {{URL}},2024-04-26,2,bible,1783677417288311067,5 stars,0.6917574405670166
{{USERNAME}} That spirit ain't holy.,2024-04-26,2,bible,1783677413760930127,1 star,0.44650617241859436
Holy fuck I’ve come a long way Ty Jesus,2024-04-26,2,bible,1783677411877417073,5 stars,0.7222694754600525
"{{USERNAME}} {{USERNAME}} People need to get a back bone and tell the vaccine and face diaper pusher people. The works of the flesh and the devil's dark kingdom NO. 😡🗡️🛡️🏹⚖️📜 And say Yes to our Heavenly Father, Lord and Savior Jesus Christ and Holy Spirit in all areas of life. ❤️❤️❤️",2024-04-26,2,bible,1783677410648752357,5 stars,0.4023076891899109
beating my son over the head with the orange catholic bible,2024-04-26,2,bible,1783677408572211398,5 stars,0.4095943570137024
"{{USERNAME}} It was just a tuna sandwich with black olives on some good wheat bread, but it was the first thing I ate after a long unpleasant camping trip and it was perfect.",2024-04-26,2,bible,1783677399697428492,5 stars,0.535478413105011
❧Morning Bible❧	A wonderful day has begun. 	Spend it happily and live with a smile. I wish you a good mood.	#อรุณสวัสดิ์คุณวิชญ์ภาส 	{{USERNAME}}	#BibleWichapas	#bsumone {{URL}},2024-04-26,2,bible,1783677398938190176,5 stars,0.6917574405670166
"Caleb Williams, D’Andre Swift, DJ Moore,  Keenan Allen, Rome Odunze, and Cole Kmet. Holy crap I’m drooling. The #Bears are going to be fun!",2024-04-26,2,bible,1783677391937925486,1 star,0.5245994329452515
wait the amount of throuple media i've ingested since i was a pre-teen?!? I LOVE THIS REVELATION {{URL}},2024-04-26,2,bible,1783677391753331130,5 stars,0.5581163763999939
{{USERNAME}} holy shit dude!!!,2024-04-26,2,bible,1783677390264189411,1 star,0.9050168991088867
{{USERNAME}} You absolutely know back my guy. Holy W.,2024-04-26,2,bible,1783677387521069433,5 stars,0.5376484394073486
yes that's right - {{USERNAME}} never wears a kippah except to Palestinian demonstrations - I can't imagine why?  Perhaps he thinks opposition to genocide is a holy sacrament?  or he's trying to paint himself as the poor hard done by Jew {{URL}},2024-04-26,2,bible,1783677386849980548,1 star,0.39230531454086304
By his wisdom God made the heavens; his love is eternal; Ps 136:5 #Bible,2024-04-26,2,bible,1783677386229231854,5 stars,0.709169328212738
"{{USERNAME}} your huge evict holy, congrats no more baby face 😉",2024-04-26,2,bible,1783677386191487235,5 stars,0.6957007646560669
"#GodMorningFriday 	A wrong way of worship,	instead of being beneficial, is harmful.	For complete peace and happiness,take inititation from SatGuru.	Only He provides the true way of worship mentioned in holy scriptures.	{{USERNAME}} 	Must Watch Sadhna tv7:30PM	#FridayMotivation {{URL}}",2024-04-26,2,bible,1783677385357062485,1 star,0.5230111479759216
"{{USERNAME}} (Beyond the Mormon canon) the Spanish Reina Valera Bible, JW Bible in English and Spanish, excerpts of the Quran, excerpts of the Tao te Ching, excerpts of Vedic Texts, various Buddhist mantras, Sufi poetry by Hafez and Rumi, and of course The Lord Of The Rings",2024-04-26,2,bible,1783677383318683689,5 stars,0.240480437874794
"This important book is for anyone concerned about violence directed at places of worship! ""Security for Holy Places"" written by Stephen D. Bryen {{USERNAME}} {{URL}} {{URL}}",2024-04-26,2,bible,1783677382685258220,5 stars,0.581782341003418
"4/ I've been informed by a reliable source that this second prophet plagiarized a poem, claimed that he received it by angelic revelation, and shared the plagiarized work at a conference. Plagiarism, lying, and exaggerating angelic visitation.",2024-04-26,2,bible,1783677382567588127,1 star,0.7538880705833435
"{{USERNAME}} SEND HELP I'M CRYING, LIKE 100% BASED BUT THIS ALSO TOOK ME BY SURPRISE HOLY SHIT",2024-04-26,2,bible,1783677382550773801,1 star,0.46837466955184937
{{USERNAME}} HOLY!  I finally agree with Perk!  This is one of the dirtiest plays I’ve seen in ages.  Can’t believe he didn’t get tossed.,2024-04-26,2,bible,1783677382164873296,5 stars,0.8615780472755432
Embiid is aboutta drop 50 on a bad foot holy shit,2024-04-26,2,bible,1783677382026494376,1 star,0.7847670316696167
🔥🔥🔥I watched this one last night. This one really hit me to think more deeply about just how big God is. 		Real ole time King James Bible preaching.		*Note: This is not me preaching. This is just a preacher I admire and like a lot. {{URL}},2024-04-26,2,bible,1783677380831101088,5 stars,0.5699155330657959
Mind-blowing revelation! Let that sink in.	#ChandrakanthaDevelopers #DidYouKnow #RealEstateBuilders #Bangalore {{URL}},2024-04-26,2,bible,1783677379442876848,5 stars,0.4576311707496643
{{USERNAME}} Holy shit is that a chassis dynamics modified?,2024-04-26,2,bible,1783677378683666470,1 star,0.5601567029953003
"LET’S PRAY	Dear God, my righteous Father, I come to you on this fateful day, humbly seeking your mercy. For my actions have shamed your name. Don’t forsake Lord, as I yearn to have your holy spirit lead me to your glorious plans of the day. Amen. {{URL}}",2024-04-26,2,bible,1783677377865719848,5 stars,0.7658538222312927
{{USERNAME}} {{USERNAME}} Oh? I bet you have a Bible then,2024-04-26,2,bible,1783677377148580284,1 star,0.3624737858772278
ONE DAY SON… YOUR GREATEST VICTORY IS COMING… YOUR GREAT GRANNY JOHNNIE MAE FAVORITE BIBLE VERSE PSALMS 34:8 “ O taste and see that the LORD is good: blessed is the man that trusteth in him.” 🩷 YOUR BIGGEST FAN MOM #GODFAMILYFOOTBALL #HIGHSCHOOL #FRESHMAN #SPEAKLIFEOVERYOURKID {{URL}},2024-04-26,2,bible,1783677376569692215,5 stars,0.8470288515090942
"{{USERNAME}} {{USERNAME}} {{USERNAME}} {{USERNAME}} What kind of fooishness is this? Jesus is Christ and you can be part of the only Church he started, in the Bible in his own words. But you deny Him the right.",2024-04-26,2,bible,1783677375286595856,1 star,0.5555115938186646
"{{USERNAME}} {{USERNAME}} {{USERNAME}} 4,000 whole people watching it. Holy shit.",2024-04-26,2,bible,1783677371322712447,1 star,0.9396300315856934
❧Morning Bible❧	A wonderful day has begun. 	Spend it happily and live with a smile. I wish you a good mood.	#อรุณสวัสดิ์คุณวิชญ์ภาส 	{{USERNAME}}	#BibleWichapas	#bsumone {{URL}},2024-04-26,2,bible,1783677369376718952,5 stars,0.6917574405670166
There's  bible verse that states $barron trump is Alexander the Great incarnate.,2024-04-26,2,bible,1783677356218908991,1 star,0.3045344650745392
"The fact that we have OG and JB masterclass tonight yet the Sixers CAN'T MISS....It's just exhausting. We're playing really well, but Sixers can't miss at all, holy smokes. 😭 {{URL}}",2024-04-26,2,bible,1783677350976037145,2 stars,0.28164687752723694
"{{USERNAME}} The first holy crap moment was the crowd. Unbelievable. I've been to Hart Plaza for the Freedom Festival, but they have 275,000 at the draft tonight!",2024-04-26,2,bible,1783677350497890601,1 star,0.7491219639778137
FRUIT FASTING DAY 26 LATE NIGHT HEALING BIBLE STUDY - PSALMS 72 (4/25/24) {{URL}},2024-04-26,2,bible,1783677348497555593,5 stars,0.3409402072429657
{{USERNAME}} Holy shit I can't believe they're real,2024-04-26,2,bible,1783677346962186500,1 star,0.8220628499984741
{{USERNAME}} I think you did! Holy shit. 🤯,2024-04-26,2,bible,1783677344680427765,1 star,0.5620161294937134
"{{USERNAME}} {{USERNAME}} {{USERNAME}} Now, I'm no Christian, but please show me where in the Bible it says you're not allowed to kill someone in self-defense.		In fact, if I remember my Bible studies correctly, the Bible prescribes death as a punishment for truly heinous crimes... you know, like mass murder.",2024-04-26,2,bible,1783677343791263928,1 star,0.5356999039649963
{{USERNAME}} Holy moly,2024-04-26,2,bible,1783677342524621021,5 stars,0.40805187821388245
"i know this guy is a fucking idiot but holy shit {{USERNAME}}, citing a cartoon show and an MCU movie when people are going 'hey stories starring and about captain america aren't mercenary stories or accidentally helping nazi stories'. you are just talking out your ass at this point {{URL}}",2024-04-26,2,bible,1783677341165932552,1 star,0.8464879393577576
"{{USERNAME}} Holy shit, community noted??!!",2024-04-26,2,bible,1783677337277780410,1 star,0.8015429377555847
{{USERNAME}} {{USERNAME}} {{USERNAME}} Antisemitism laws make the Bible and Christianity illegal.  Remember the Jewish DOJ investigating traditional churches...,2024-04-26,2,bible,1783677333154812305,1 star,0.7950418591499329
"These “professors”, holy cow do we have bigger problems than student debt… it’s embarrassing and  absurd that the vast majority are considered “educators”  let the  “student”  wannabe terrorists  implode it all  …  YIKES so much money burnt",2024-04-26,2,bible,1783677325609169298,1 star,0.8977428674697876
"{{USERNAME}} Juma mubarak, wish you this holy and healthy day",2024-04-26,2,bible,1783677325176902070,5 stars,0.6597296595573425
